country,year,food_supply,region
Algeria,1961,1620.0,Middle East & North Africa
Djibouti,1961,1610.0,Middle East & North Africa
Egypt,1961,2080.0,Middle East & North Africa
Iran,1961,1750.0,Middle East & North Africa
Iraq,1961,1740.0,Middle East & North Africa
Israel,1961,2810.0,Middle East & North Africa
Jordan,1961,2110.0,Middle East & North Africa
Kuwait,1961,2510.0,Middle East & North Africa
Lebanon,1961,2420.0,Middle East & North Africa
Malta,1961,2840.0,Middle East & North Africa
Morocco,1961,2050.0,Middle East & North Africa
Oman,1961,,Middle East & North Africa
Saudi Arabia,1961,1720.0,Middle East & North Africa
Tunisia,1961,2240.0,Middle East & North Africa
United Arab Emirates,1961,2890.0,Middle East & North Africa
Yemen,1961,1790.0,Middle East & North Africa
Algeria,1962,1570.0,Middle East & North Africa
Djibouti,1962,1650.0,Middle East & North Africa
Egypt,1962,2150.0,Middle East & North Africa
Iran,1962,1750.0,Middle East & North Africa
Iraq,1962,1860.0,Middle East & North Africa
Israel,1962,2820.0,Middle East & North Africa
Jordan,1962,2140.0,Middle East & North Africa
Kuwait,1962,2550.0,Middle East & North Africa
Lebanon,1962,2470.0,Middle East & North Africa
Malta,1962,2850.0,Middle East & North Africa
Morocco,1962,2070.0,Middle East & North Africa
Oman,1962,,Middle East & North Africa
Saudi Arabia,1962,1750.0,Middle East & North Africa
Tunisia,1962,2290.0,Middle East & North Africa
United Arab Emirates,1962,2780.0,Middle East & North Africa
Yemen,1962,1800.0,Middle East & North Africa
Algeria,1963,1530.0,Middle East & North Africa
Djibouti,1963,1600.0,Middle East & North Africa
Egypt,1963,2170.0,Middle East & North Africa
Iran,1963,1790.0,Middle East & North Africa
Iraq,1963,1980.0,Middle East & North Africa
Israel,1963,2750.0,Middle East & North Africa
Jordan,1963,2170.0,Middle East & North Africa
Kuwait,1963,2440.0,Middle East & North Africa
Lebanon,1963,2430.0,Middle East & North Africa
Malta,1963,2930.0,Middle East & North Africa
Morocco,1963,2070.0,Middle East & North Africa
Oman,1963,,Middle East & North Africa
Saudi Arabia,1963,1790.0,Middle East & North Africa
Tunisia,1963,2340.0,Middle East & North Africa
United Arab Emirates,1963,2740.0,Middle East & North Africa
Yemen,1963,1820.0,Middle East & North Africa
Algeria,1964,1540.0,Middle East & North Africa
Djibouti,1964,1570.0,Middle East & North Africa
Egypt,1964,2200.0,Middle East & North Africa
Iran,1964,1860.0,Middle East & North Africa
Iraq,1964,2030.0,Middle East & North Africa
Israel,1964,2840.0,Middle East & North Africa
Jordan,1964,2090.0,Middle East & North Africa
Kuwait,1964,2560.0,Middle East & North Africa
Lebanon,1964,2460.0,Middle East & North Africa
Malta,1964,2970.0,Middle East & North Africa
Morocco,1964,2140.0,Middle East & North Africa
Oman,1964,,Middle East & North Africa
Saudi Arabia,1964,1820.0,Middle East & North Africa
Tunisia,1964,2320.0,Middle East & North Africa
United Arab Emirates,1964,2620.0,Middle East & North Africa
Yemen,1964,1830.0,Middle East & North Africa
Algeria,1965,1590.0,Middle East & North Africa
Djibouti,1965,1590.0,Middle East & North Africa
Egypt,1965,2230.0,Middle East & North Africa
Iran,1965,1880.0,Middle East & North Africa
Iraq,1965,2050.0,Middle East & North Africa
Israel,1965,2810.0,Middle East & North Africa
Jordan,1965,2160.0,Middle East & North Africa
Kuwait,1965,2560.0,Middle East & North Africa
Lebanon,1965,2470.0,Middle East & North Africa
Malta,1965,3070.0,Middle East & North Africa
Morocco,1965,2170.0,Middle East & North Africa
Oman,1965,,Middle East & North Africa
Saudi Arabia,1965,1860.0,Middle East & North Africa
Tunisia,1965,2390.0,Middle East & North Africa
United Arab Emirates,1965,2590.0,Middle East & North Africa
Yemen,1965,1840.0,Middle East & North Africa
Algeria,1966,1570.0,Middle East & North Africa
Djibouti,1966,1610.0,Middle East & North Africa
Egypt,1966,2290.0,Middle East & North Africa
Iran,1966,2030.0,Middle East & North Africa
Iraq,1966,2060.0,Middle East & North Africa
Israel,1966,2920.0,Middle East & North Africa
Jordan,1966,2170.0,Middle East & North Africa
Kuwait,1966,2640.0,Middle East & North Africa
Lebanon,1966,2460.0,Middle East & North Africa
Malta,1966,2980.0,Middle East & North Africa
Morocco,1966,2100.0,Middle East & North Africa
Oman,1966,,Middle East & North Africa
Saudi Arabia,1966,1860.0,Middle East & North Africa
Tunisia,1966,2300.0,Middle East & North Africa
United Arab Emirates,1966,2690.0,Middle East & North Africa
Yemen,1966,1850.0,Middle East & North Africa
Algeria,1967,1650.0,Middle East & North Africa
Djibouti,1967,1690.0,Middle East & North Africa
Egypt,1967,2230.0,Middle East & North Africa
Iran,1967,2040.0,Middle East & North Africa
Iraq,1967,2090.0,Middle East & North Africa
Israel,1967,3000.0,Middle East & North Africa
Jordan,1967,2050.0,Middle East & North Africa
Kuwait,1967,2610.0,Middle East & North Africa
Lebanon,1967,2510.0,Middle East & North Africa
Malta,1967,3000.0,Middle East & North Africa
Morocco,1967,2150.0,Middle East & North Africa
Oman,1967,,Middle East & North Africa
Saudi Arabia,1967,1880.0,Middle East & North Africa
Tunisia,1967,2410.0,Middle East & North Africa
United Arab Emirates,1967,2770.0,Middle East & North Africa
Yemen,1967,1850.0,Middle East & North Africa
Algeria,1968,1710.0,Middle East & North Africa
Djibouti,1968,1710.0,Middle East & North Africa
Egypt,1968,2270.0,Middle East & North Africa
Iran,1968,2170.0,Middle East & North Africa
Iraq,1968,2090.0,Middle East & North Africa
Israel,1968,3090.0,Middle East & North Africa
Jordan,1968,2180.0,Middle East & North Africa
Kuwait,1968,2630.0,Middle East & North Africa
Lebanon,1968,2570.0,Middle East & North Africa
Malta,1968,3120.0,Middle East & North Africa
Morocco,1968,2240.0,Middle East & North Africa
Oman,1968,,Middle East & North Africa
Saudi Arabia,1968,1880.0,Middle East & North Africa
Tunisia,1968,2400.0,Middle East & North Africa
United Arab Emirates,1968,2930.0,Middle East & North Africa
Yemen,1968,1840.0,Middle East & North Africa
Algeria,1969,1710.0,Middle East & North Africa
Djibouti,1969,1580.0,Middle East & North Africa
Egypt,1969,2270.0,Middle East & North Africa
