country,year,food_supply,region
Afghanistan,1961,3000.0,South Asia
Albania,1961,2220.0,Europe & Central Asia
Algeria,1961,1620.0,Middle East & North Africa
Angola,1961,1800.0,Sub-Saharan Africa
Antigua and Barbuda,1961,2010.0,Latin America & Caribbean
Argentina,1961,3110.0,Latin America & Caribbean
Armenia,1961,,Europe & Central Asia
Australia,1961,3090.0,East Asia & Pacific
Austria,1961,3190.0,Europe & Central Asia
Azerbaijan,1961,,Europe & Central Asia
Bahamas,1961,2450.0,
Bangladesh,1961,2150.0,South Asia
Barbados,1961,2510.0,Latin America & Caribbean
Belarus,1961,,Europe & Central Asia
Belgium,1961,,Europe & Central Asia
Belize,1961,2120.0,Latin America & Caribbean
Benin,1961,1740.0,Sub-Saharan Africa
Bolivia,1961,1730.0,Latin America & Caribbean
Bosnia and Herzegovina,1961,,Europe & Central Asia
Botswana,1961,1980.0,Sub-Saharan Africa
Brazil,1961,2210.0,Latin America & Caribbean
Brunei,1961,1930.0,East Asia & Pacific
Bulgaria,1961,3170.0,Europe & Central Asia
Burkina Faso,1961,1330.0,Sub-Saharan Africa
Cambodia,1961,1910.0,East Asia & Pacific
Cameroon,1961,2010.0,Sub-Saharan Africa
Canada,1961,2810.0,North America
Cape Verde,1961,1650.0,
Central African Republic,1961,2260.0,Sub-Saharan Africa
Chad,1961,2260.0,Sub-Saharan Africa
Chile,1961,2500.0,Latin America & Caribbean
China,1961,1420.0,East Asia & Pacific
Colombia,1961,2190.0,Latin America & Caribbean
"Congo, Rep.",1961,2090.0,Sub-Saharan Africa
Costa Rica,1961,1970.0,Latin America & Caribbean
Cote d'Ivoire,1961,2330.0,
Croatia,1961,,Europe & Central Asia
Cuba,1961,2120.0,Latin America & Caribbean
Cyprus,1961,2480.0,Europe & Central Asia
Czech Republic,1961,,Europe & Central Asia
Denmark,1961,3190.0,Europe & Central Asia
Djibouti,1961,1610.0,Middle East & North Africa
Dominica,1961,1730.0,Latin America & Caribbean
Dominican Republic,1961,1710.0,Latin America & Caribbean
Ecuador,1961,2000.0,Latin America & Caribbean
Egypt,1961,2080.0,Middle East & North Africa
El Salvador,1961,1580.0,Latin America & Caribbean
Estonia,1961,,Europe & Central Asia
Ethiopia,1961,,Sub-Saharan Africa
Fiji,1961,2590.0,East Asia & Pacific
Finland,1961,3270.0,Europe & Central Asia
France,1961,3190.0,Europe & Central Asia
Gabon,1961,1910.0,Sub-Saharan Africa
Gambia,1961,2070.0,
Georgia,1961,,Europe & Central Asia
Germany,1961,2860.0,Europe & Central Asia
Ghana,1961,2020.0,Sub-Saharan Africa
Greece,1961,2820.0,Europe & Central Asia
Grenada,1961,1730.0,Latin America & Caribbean
Guatemala,1961,1820.0,Latin America & Caribbean
Guinea,1961,1960.0,Sub-Saharan Africa
Guinea-Bissau,1961,1620.0,Sub-Saharan Africa
Guyana,1961,2310.0,Latin America & Caribbean
Haiti,1961,1910.0,Latin America & Caribbean
Honduras,1961,1880.0,Latin America & Caribbean
Hungary,1961,2870.0,Europe & Central Asia
Iceland,1961,3260.0,Europe & Central Asia
India,1961,2010.0,South Asia
Indonesia,1961,1820.0,East Asia & Pacific
Iran,1961,1750.0,Middle East & North Africa
Iraq,1961,1740.0,Middle East & North Africa
Ireland,1961,3360.0,Europe & Central Asia
Israel,1961,2810.0,Middle East & North Africa
Italy,1961,2960.0,Europe & Central Asia
Jamaica,1961,1920.0,Latin America & Caribbean
Japan,1961,2530.0,East Asia & Pacific
Jordan,1961,2110.0,Middle East & North Africa
Kazakhstan,1961,,Europe & Central Asia
Kenya,1961,2250.0,Sub-Saharan Africa
Kiribati,1961,2420.0,East Asia & Pacific
Kuwait,1961,2510.0,Middle East & North Africa
Kyrgyz Republic,1961,,Europe & Central Asia
Lao,1961,1950.0,
Latvia,1961,,Europe & Central Asia
Lebanon,1961,2420.0,Middle East & North Africa
Lesotho,1961,2010.0,Sub-Saharan Africa
Liberia,1961,2020.0,Sub-Saharan Africa
Lithuania,1961,,Europe & Central Asia
Luxembourg,1961,,Europe & Central Asia
"Macedonia, FYR",1961,,Europe & Central Asia
Madagascar,1961,2430.0,Sub-Saharan Africa
Malawi,1961,2010.0,Sub-Saharan Africa
Malaysia,1961,2420.0,East Asia & Pacific
Maldives,1961,1560.0,South Asia
Mali,1961,1640.0,Sub-Saharan Africa
Malta,1961,2840.0,Middle East & North Africa
Mauritania,1961,2250.0,Sub-Saharan Africa
Mauritius,1961,2370.0,Sub-Saharan Africa
Mexico,1961,2300.0,Latin America & Caribbean
Moldova,1961,,Europe & Central Asia
Mongolia,1961,2020.0,East Asia & Pacific
Montenegro,1961,,Europe & Central Asia
Morocco,1961,2050.0,Middle East & North Africa
Mozambique,1961,1830.0,Sub-Saharan Africa
Myanmar,1961,1450.0,East Asia & Pacific
Namibia,1961,2210.0,Sub-Saharan Africa
Nepal,1961,1760.0,South Asia
Netherlands,1961,3040.0,Europe & Central Asia
New Zealand,1961,2930.0,East Asia & Pacific
Nicaragua,1961,1910.0,Latin America & Caribbean
Niger,1961,1610.0,Sub-Saharan Africa
Nigeria,1961,1950.0,Sub-Saharan Africa
North Korea,1961,1880.0,East Asia & Pacific
Norway,1961,2780.0,Europe & Central Asia
Oman,1961,,Middle East & North Africa
Pakistan,1961,1880.0,South Asia
Panama,1961,2100.0,Latin America & Caribbean
Paraguay,1961,2140.0,Latin America & Caribbean
Peru,1961,2130.0,Latin America & Caribbean
Philippines,1961,1790.0,East Asia & Pacific
Poland,1961,3270.0,Europe & Central Asia
Portugal,1961,2480.0,Europe & Central Asia
Romania,1961,2830.0,Europe & Central Asia
Russia,1961,,Europe & Central Asia
Rwanda,1961,1790.0,Sub-Saharan Africa
Samoa,1961,1980.0,East Asia & Pacific
Sao Tome and Principe,1961,2270.0,
Saudi Arabia,1961,1720.0,Middle East & North Africa
Senegal,1961,2290.0,Sub-Saharan Africa
Serbia,1961,,Europe & Central Asia
Sierra Leone,1961,1820.0,Sub-Saharan Africa
Slovak Republic,1961,,Europe & Central Asia
Slovenia,1961,,Europe & Central Asia
Solomon Islands,1961,2200.0,East Asia & Pacific
South Africa,1961,2670.0,Sub-Saharan Africa
South Korea,1961,2140.0,East Asia & Pacific
Spain,1961,2660.0,Europe & Central Asia
Sri Lanka,1961,2070.0,South Asia
St. Kitts and Nevis,1961,1720.0,Latin America & Caribbean
St. Lucia,1961,1690.0,Latin America & Caribbean
St. Vincent and the Grenadines,1961,1810.0,Latin America & Caribbean
Sudan,1961,1590.0,Sub-Saharan Africa
Suriname,1961,1910.0,Latin America & Caribbean
Swaziland,1961,2220.0,Sub-Saharan Africa
Sweden,1961,2850.0,Europe & Central Asia
Switzerland,1961,3580.0,Europe & Central Asia
Tajikistan,1961,,Europe & Central Asia
Tanzania,1961,1750.0,Sub-Saharan Africa
Thailand,1961,1940.0,East Asia & Pacific
Timor-Leste,1961,1740.0,East Asia & Pacific
Togo,1961,2040.0,Sub-Saharan Africa
Trinidad and Tobago,1961,2280.0,Latin America & Caribbean
Tunisia,1961,2240.0,Middle East & North Africa
Turkey,1961,2960.0,Europe & Central Asia
Turkmenistan,1961,,Europe & Central Asia
Uganda,1961,2310.0,Sub-Saharan Africa
Ukraine,1961,,Europe & Central Asia
United Arab Emirates,1961,2890.0,Middle East & North Africa
United Kingdom,1961,3230.0,Europe & Central Asia
United States,1961,2880.0,North America
Uruguay,1961,2790.0,Latin America & Caribbean
Uzbekistan,1961,,Europe & Central Asia
Vanuatu,1961,2450.0,East Asia & Pacific
Venezuela,1961,2160.0,Latin America & Caribbean
Vietnam,1961,1910.0,East Asia & Pacific
Yemen,1961,1790.0,Middle East & North Africa
Zambia,1961,2160.0,Sub-Saharan Africa
Zimbabwe,1961,2120.0,Sub-Saharan Africa
Afghanistan,1962,2920.0,South Asia
Albania,1962,2240.0,Europe & Central Asia
Algeria,1962,1570.0,Middle East & North Africa
Angola,1962,1820.0,Sub-Saharan Africa
Antigua and Barbuda,1962,2190.0,Latin America & Caribbean
Argentina,1962,3080.0,Latin America & Caribbean
Armenia,1962,,Europe & Central Asia
Australia,1962,3110.0,East Asia & Pacific
Austria,1962,3190.0,Europe & Central Asia
Azerbaijan,1962,,Europe & Central Asia
Bahamas,1962,2390.0,
Bangladesh,1962,2130.0,South Asia
Barbados,1962,2580.0,Latin America & Caribbean
Belarus,1962,,Europe & Central Asia
Belgium,1962,,Europe & Central Asia
Belize,1962,2230.0,Latin America & Caribbean
Benin,1962,1760.0,Sub-Saharan Africa
Bolivia,1962,1760.0,Latin America & Caribbean
Bosnia and Herzegovina,1962,,Europe & Central Asia
Botswana,1962,1910.0,Sub-Saharan Africa
Brazil,1962,2270.0,Latin America & Caribbean
Brunei,1962,1970.0,East Asia & Pacific
Bulgaria,1962,3220.0,Europe & Central Asia
Burkina Faso,1962,1310.0,Sub-Saharan Africa
Cambodia,1962,1880.0,East Asia & Pacific
Cameroon,1962,2020.0,Sub-Saharan Africa
Canada,1962,2840.0,North America
Cape Verde,1962,1540.0,
Central African Republic,1962,2220.0,Sub-Saharan Africa
Chad,1962,2370.0,Sub-Saharan Africa
Chile,1962,2530.0,Latin America & Caribbean
China,1962,1530.0,East Asia & Pacific
Colombia,1962,2210.0,Latin America & Caribbean
"Congo, Rep.",1962,2090.0,Sub-Saharan Africa
Costa Rica,1962,2020.0,Latin America & Caribbean
Cote d'Ivoire,1962,2420.0,
Croatia,1962,,Europe & Central Asia
Cuba,1962,2190.0,Latin America & Caribbean
Cyprus,1962,2420.0,Europe & Central Asia
Czech Republic,1962,,Europe & Central Asia
Denmark,1962,3100.0,Europe & Central Asia
Djibouti,1962,1650.0,Middle East & North Africa
Dominica,1962,1800.0,Latin America & Caribbean
Dominican Republic,1962,1850.0,Latin America & Caribbean
Ecuador,1962,2030.0,Latin America & Caribbean
Egypt,1962,2150.0,Middle East & North Africa
El Salvador,1962,1610.0,Latin America & Caribbean
Estonia,1962,,Europe & Central Asia
Ethiopia,1962,,Sub-Saharan Africa
Fiji,1962,2640.0,East Asia & Pacific
Finland,1962,3150.0,Europe & Central Asia
France,1962,3260.0,Europe & Central Asia
Gabon,1962,1930.0,Sub-Saharan Africa
Gambia,1962,2080.0,
Georgia,1962,,Europe & Central Asia
Germany,1962,2920.0,Europe & Central Asia
Ghana,1962,1940.0,Sub-Saharan Africa
Greece,1962,2780.0,Europe & Central Asia
Grenada,1962,1810.0,Latin America & Caribbean
Guatemala,1962,1850.0,Latin America & Caribbean
Guinea,1962,1940.0,Sub-Saharan Africa
Guinea-Bissau,1962,1570.0,Sub-Saharan Africa
Guyana,1962,2310.0,Latin America & Caribbean
Haiti,1962,1940.0,Latin America & Caribbean
Honduras,1962,1850.0,Latin America & Caribbean
Hungary,1962,3050.0,Europe & Central Asia
Iceland,1962,3320.0,Europe & Central Asia
India,1962,2050.0,South Asia
Indonesia,1962,1830.0,East Asia & Pacific
Iran,1962,1750.0,Middle East & North Africa
Iraq,1962,1860.0,Middle East & North Africa
Ireland,1962,3370.0,Europe & Central Asia
Israel,1962,2820.0,Middle East & North Africa
Italy,1962,3020.0,Europe & Central Asia
Jamaica,1962,2020.0,Latin America & Caribbean
Japan,1962,2570.0,East Asia & Pacific
Jordan,1962,2140.0,Middle East & North Africa
Kazakhstan,1962,,Europe & Central Asia
Kenya,1962,2250.0,Sub-Saharan Africa
Kiribati,1962,2510.0,East Asia & Pacific
Kuwait,1962,2550.0,Middle East & North Africa
Kyrgyz Republic,1962,,Europe & Central Asia
Lao,1962,1920.0,
Latvia,1962,,Europe & Central Asia
Lebanon,1962,2470.0,Middle East & North Africa
Lesotho,1962,2000.0,Sub-Saharan Africa
Liberia,1962,2060.0,Sub-Saharan Africa
Lithuania,1962,,Europe & Central Asia
