country,year,food_supply,region,lifeexpband
Afghanistan,1961,3000.0,South Asia,L
Albania,1961,2220.0,Europe & Central Asia,H
Algeria,1961,1620.0,Middle East & North Africa,H
Angola,1961,1800.0,Sub-Saharan Africa,L
Antigua and Barbuda,1961,2010.0,Latin America & Caribbean,H
Argentina,1961,3110.0,Latin America & Caribbean,H
Armenia,1961,,Europe & Central Asia,H
Australia,1961,3090.0,East Asia & Pacific,H
Austria,1961,3190.0,Europe & Central Asia,H
Azerbaijan,1961,,Europe & Central Asia,M
Bahamas,1961,2450.0,,H
Bangladesh,1961,2150.0,South Asia,M
Barbados,1961,2510.0,Latin America & Caribbean,H
Belarus,1961,,Europe & Central Asia,H
Belgium,1961,,Europe & Central Asia,H
Belize,1961,2120.0,Latin America & Caribbean,M
Benin,1961,1740.0,Sub-Saharan Africa,L
Bolivia,1961,1730.0,Latin America & Caribbean,M
Bosnia and Herzegovina,1961,,Europe & Central Asia,H
Botswana,1961,1980.0,Sub-Saharan Africa,L
Brazil,1961,2210.0,Latin America & Caribbean,H
Brunei,1961,1930.0,East Asia & Pacific,H
Bulgaria,1961,3170.0,Europe & Central Asia,H
Burkina Faso,1961,1330.0,Sub-Saharan Africa,L
Cambodia,1961,1910.0,East Asia & Pacific,M
Cameroon,1961,2010.0,Sub-Saharan Africa,L
Canada,1961,2810.0,North America,H
Cape Verde,1961,1650.0,,H
Central African Republic,1961,2260.0,Sub-Saharan Africa,L
Chad,1961,2260.0,Sub-Saharan Africa,L
Chile,1961,2500.0,Latin America & Caribbean,H
China,1961,1420.0,East Asia & Pacific,H
Colombia,1961,2190.0,Latin America & Caribbean,H
"Congo, Rep.",1961,2090.0,Sub-Saharan Africa,L
Costa Rica,1961,1970.0,Latin America & Caribbean,H
Cote d'Ivoire,1961,2330.0,,L
Croatia,1961,,Europe & Central Asia,H
Cuba,1961,2120.0,Latin America & Caribbean,H
Cyprus,1961,2480.0,Europe & Central Asia,H
Czech Republic,1961,,Europe & Central Asia,H
Denmark,1961,3190.0,Europe & Central Asia,H
Djibouti,1961,1610.0,Middle East & North Africa,M
Dominica,1961,1730.0,Latin America & Caribbean,M
Dominican Republic,1961,1710.0,Latin America & Caribbean,H
Ecuador,1961,2000.0,Latin America & Caribbean,H
Egypt,1961,2080.0,Middle East & North Africa,M
El Salvador,1961,1580.0,Latin America & Caribbean,H
Estonia,1961,,Europe & Central Asia,H
Ethiopia,1961,,Sub-Saharan Africa,M
Fiji,1961,2590.0,East Asia & Pacific,M
Finland,1961,3270.0,Europe & Central Asia,H
France,1961,3190.0,Europe & Central Asia,H
Gabon,1961,1910.0,Sub-Saharan Africa,M
Gambia,1961,2070.0,,M
Georgia,1961,,Europe & Central Asia,H
Germany,1961,2860.0,Europe & Central Asia,H
Ghana,1961,2020.0,Sub-Saharan Africa,M
Greece,1961,2820.0,Europe & Central Asia,H
Grenada,1961,1730.0,Latin America & Caribbean,M
Guatemala,1961,1820.0,Latin America & Caribbean,M
Guinea,1961,1960.0,Sub-Saharan Africa,L
Guinea-Bissau,1961,1620.0,Sub-Saharan Africa,L
Guyana,1961,2310.0,Latin America & Caribbean,M
Haiti,1961,1910.0,Latin America & Caribbean,L
Honduras,1961,1880.0,Latin America & Caribbean,M
Hungary,1961,2870.0,Europe & Central Asia,H
Iceland,1961,3260.0,Europe & Central Asia,H
India,1961,2010.0,South Asia,M
Indonesia,1961,1820.0,East Asia & Pacific,M
Iran,1961,1750.0,Middle East & North Africa,H
Iraq,1961,1740.0,Middle East & North Africa,M
Ireland,1961,3360.0,Europe & Central Asia,H
Israel,1961,2810.0,Middle East & North Africa,H
Italy,1961,2960.0,Europe & Central Asia,H
Jamaica,1961,1920.0,Latin America & Caribbean,H
Japan,1961,2530.0,East Asia & Pacific,H
Jordan,1961,2110.0,Middle East & North Africa,H
Kazakhstan,1961,,Europe & Central Asia,M
Kenya,1961,2250.0,Sub-Saharan Africa,M
Kiribati,1961,2420.0,East Asia & Pacific,L
Kuwait,1961,2510.0,Middle East & North Africa,H
Kyrgyz Republic,1961,,Europe & Central Asia,M
Lao,1961,1950.0,,M
Latvia,1961,,Europe & Central Asia,H
Lebanon,1961,2420.0,Middle East & North Africa,H
