country,year,food_supply,region
United States,1961,2880.0,North America
United States,1962,2860.0,North America
United States,1963,2860.0,North America
United States,1964,2930.0,North America
United States,1965,2920.0,North America
United States,1966,2950.0,North America
United States,1967,2980.0,North America
United States,1968,3000.0,North America
United States,1969,3030.0,North America
United States,1970,3030.0,North America
United States,1971,3050.0,North America
United States,1972,3060.0,North America
United States,1973,3040.0,North America
United States,1974,3030.0,North America
United States,1975,3030.0,North America
United States,1976,3160.0,North America
United States,1977,3140.0,North America
United States,1978,3160.0,North America
United States,1979,3210.0,North America
United States,1980,3180.0,North America
United States,1981,3220.0,North America
United States,1982,3190.0,North America
United States,1983,3230.0,North America
United States,1984,3280.0,North America
United States,1985,3380.0,North America
United States,1986,3350.0,North America
United States,1987,3450.0,North America
United States,1988,3460.0,North America
United States,1989,3430.0,North America
United States,1990,3490.0,North America
United States,1991,3520.0,North America
United States,1992,3560.0,North America
United States,1993,3610.0,North America
United States,1994,3670.0,North America
United States,1995,3580.0,North America
United States,1996,3590.0,North America
United States,1997,3650.0,North America
United States,1998,3660.0,North America
United States,1999,3670.0,North America
United States,2000,3760.0,North America
United States,2001,3710.0,North America
United States,2002,3780.0,North America
United States,2003,3780.0,North America
United States,2004,3810.0,North America
United States,2005,3830.0,North America
United States,2006,3780.0,North America
United States,2007,3760.0,North America
United States,2008,3700.0,North America
United States,2009,3650.0,North America
United States,2010,3650.0,North America
United States,2011,3650.0,North America
United States,2012,3690.0,North America
United States,2013,3680.0,North America
