id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
politics/2021/may/27/dominic-cummings-key-accusations-against-matt-hancock,article,politics,Politics,2021-05-27T17:34:05Z,Dominic Cummings’ key accusations against Matt Hancock,https://www.theguardian.com/politics/2021/may/27/dominic-cummings-key-accusations-against-matt-hancock,https://content.guardianapis.com/politics/2021/may/27/dominic-cummings-key-accusations-against-matt-hancock,False,pillar/news,News
politics/2021/jun/06/matt-hancock-denies-dominic-cummings-covid-care-homes-claim,article,politics,Politics,2021-06-06T10:53:43Z,Matt Hancock denies Dominic Cummings’ Covid care homes claim,https://www.theguardian.com/politics/2021/jun/06/matt-hancock-denies-dominic-cummings-covid-care-homes-claim,https://content.guardianapis.com/politics/2021/jun/06/matt-hancock-denies-dominic-cummings-covid-care-homes-claim,False,pillar/news,News
politics/2021/may/27/matt-hancock-dominic-cummings-boris-johnson-coronavirus-allegations,article,politics,Politics,2021-05-27T05:03:06Z,Matt Hancock to face questions over Dominic Cummings allegations,https://www.theguardian.com/politics/2021/may/27/matt-hancock-dominic-cummings-boris-johnson-coronavirus-allegations,https://content.guardianapis.com/politics/2021/may/27/matt-hancock-dominic-cummings-boris-johnson-coronavirus-allegations,False,pillar/news,News
politics/2021/may/26/dominic-cummings-evidence-to-mps-on-covid-crisis-fact-checked,article,politics,Politics,2021-05-26T15:16:48Z,Factchecked: Dominic Cummings’ evidence to MPs on Covid crisis ,https://www.theguardian.com/politics/2021/may/26/dominic-cummings-evidence-to-mps-on-covid-crisis-fact-checked,https://content.guardianapis.com/politics/2021/may/26/dominic-cummings-evidence-to-mps-on-covid-crisis-fact-checked,False,pillar/news,News
world/2021/may/27/minister-rejects-dominic-cummings-claims-of-unnecessary-covid-deaths,article,world,World news,2021-05-27T09:18:43Z,Minister rejects Dominic Cummings’ claims of ‘needless’ Covid deaths,https://www.theguardian.com/world/2021/may/27/minister-rejects-dominic-cummings-claims-of-unnecessary-covid-deaths,https://content.guardianapis.com/world/2021/may/27/minister-rejects-dominic-cummings-claims-of-unnecessary-covid-deaths,False,pillar/news,News
politics/2021/may/26/ministers-braced-for-dominic-cummings-testimony-on-covid-crisis,article,politics,Politics,2021-05-26T07:59:11Z,Ministers braced for Dominic Cummings testimony on Covid crisis ,https://www.theguardian.com/politics/2021/may/26/ministers-braced-for-dominic-cummings-testimony-on-covid-crisis,https://content.guardianapis.com/politics/2021/may/26/ministers-braced-for-dominic-cummings-testimony-on-covid-crisis,False,pillar/news,News
politics/2021/may/27/tory-mps-turn-on-dominic-cummings-over-covid-testimony,article,politics,Politics,2021-05-27T17:51:41Z,Barnard Castle eye test: Tory MPs’ jibes at Dominic Cummings,https://www.theguardian.com/politics/2021/may/27/tory-mps-turn-on-dominic-cummings-over-covid-testimony,https://content.guardianapis.com/politics/2021/may/27/tory-mps-turn-on-dominic-cummings-over-covid-testimony,False,pillar/news,News
politics/2021/may/26/uk-government-failed-public-on-covid-response-says-dominic-cummings,article,politics,Politics,2021-05-26T09:30:36Z," UK government failed public on Covid response, says Dominic Cummings",https://www.theguardian.com/politics/2021/may/26/uk-government-failed-public-on-covid-response-says-dominic-cummings,https://content.guardianapis.com/politics/2021/may/26/uk-government-failed-public-on-covid-response-says-dominic-cummings,False,pillar/news,News
film/2021/may/27/dominic-cummings-film-references-matt-hancock-voldemort,article,film,Film,2021-05-27T09:45:59Z,‘The aliens are here’: how movies shape Dominic Cummings’ vision,https://www.theguardian.com/film/2021/may/27/dominic-cummings-film-references-matt-hancock-voldemort,https://content.guardianapis.com/film/2021/may/27/dominic-cummings-film-references-matt-hancock-voldemort,False,pillar/arts,Arts
commentisfree/2021/may/26/lone-wolf-dominic-cummings-howl-select-committee,article,commentisfree,Opinion,2021-05-26T16:01:09Z,Lone wolf Dominic Cummings continues to howl at the system | Martin Kettle,https://www.theguardian.com/commentisfree/2021/may/26/lone-wolf-dominic-cummings-howl-select-committee,https://content.guardianapis.com/commentisfree/2021/may/26/lone-wolf-dominic-cummings-howl-select-committee,False,pillar/opinion,Opinion
politics/2021/may/26/dominic-cummings-the-movie-jaw-dropping-grubby-and-delusional,article,politics,Politics,2021-05-26T19:14:09Z,"Dominic Cummings stars in his own jaw-dropping, grubby, delusional miniseries | John Crace",https://www.theguardian.com/politics/2021/may/26/dominic-cummings-the-movie-jaw-dropping-grubby-and-delusional,https://content.guardianapis.com/politics/2021/may/26/dominic-cummings-the-movie-jaw-dropping-grubby-and-delusional,False,pillar/news,News
politics/2021/may/26/matt-hancock-should-be-sacked-for-lying-says-dominic-cummings,article,politics,Politics,2021-05-26T12:42:10Z,"Matt Hancock should have been sacked for lying, says Dominic Cummings",https://www.theguardian.com/politics/2021/may/26/matt-hancock-should-be-sacked-for-lying-says-dominic-cummings,https://content.guardianapis.com/politics/2021/may/26/matt-hancock-should-be-sacked-for-lying-says-dominic-cummings,False,pillar/news,News
politics/2021/may/26/dominic-cummings-timeline-of-coronavirus-crisis,article,politics,Politics,2021-05-26T19:24:35Z,Dominic Cummings’ timeline of the early days of the Covid crisis,https://www.theguardian.com/politics/2021/may/26/dominic-cummings-timeline-of-coronavirus-crisis,https://content.guardianapis.com/politics/2021/may/26/dominic-cummings-timeline-of-coronavirus-crisis,False,pillar/news,News
politics/2021/may/26/dominic-cummings-evidence-to-mps-on-covid-crisis-the-key-quotes,article,politics,Politics,2021-05-26T18:59:39Z,Dominic Cummings’ evidence to MPs on Covid crisis: the key quotes,https://www.theguardian.com/politics/2021/may/26/dominic-cummings-evidence-to-mps-on-covid-crisis-the-key-quotes,https://content.guardianapis.com/politics/2021/may/26/dominic-cummings-evidence-to-mps-on-covid-crisis-the-key-quotes,False,pillar/news,News
politics/2021/may/30/produce-evidence-matt-hancock-lied-on-covid-dominic-cummings-to-be-told,article,politics,Politics,2021-05-30T10:15:51Z,"Produce evidence Matt Hancock lied on Covid, Dominic Cummings to be told",https://www.theguardian.com/politics/2021/may/30/produce-evidence-matt-hancock-lied-on-covid-dominic-cummings-to-be-told,https://content.guardianapis.com/politics/2021/may/30/produce-evidence-matt-hancock-lied-on-covid-dominic-cummings-to-be-told,False,pillar/news,News
world/2021/may/28/a-look-at-prof-gowers-herd-immunity-document-sent-to-dominic-cummings,article,world,World news,2021-05-28T16:00:00Z,A look at Prof Gowers’ herd immunity document sent to Dominic Cummings,https://www.theguardian.com/world/2021/may/28/a-look-at-prof-gowers-herd-immunity-document-sent-to-dominic-cummings,https://content.guardianapis.com/world/2021/may/28/a-look-at-prof-gowers-herd-immunity-document-sent-to-dominic-cummings,False,pillar/news,News
